Size;Classic;Vinograd;VinOptimized
101;10547508;8230191;8177305
201;82367567;65381968;64826867
301;336340052;266920865;258607497
401;812787248;651249088;645290661
501;1835189141;1467674147;1409757023
601;3007503824;2395686951;2325860775
701;4931828183;3919747517;3852576801
801;9483733814;7620831752;7551663392
901;13990997406;11309714724;10896364853
1001;23043318998;18788207855;18045078361
