Size;Insert;Merge;Quick
100;46751;31584;5327
200;179939;73565;12361
300;393600;108477;19410
400;701277;141741;28971
500;1139428;213607;36273
600;1533193;212551;45503
700;1993591;237489;48489
800;2581057;277803;58035
900;3368935;319167;108210
1000;3993100;348872;71125
